Ângulo               S3/S1              Tempo                 X               V
44.9867361074297     0.872914830068283     0     -10     -10
44.9734722157648     0.87267268726923     0     -10     -10
44.9602083259105     0.872654073312734     0     -10     -10
44.9469444387722     0.872870742309169     0     -10     -10
44.9336805552553     0.872640852198901     0     -10     -10
44.9204166762651     0.872658150160167     0     -10     -10
44.9071528027069     0.872644864304329     0     -10     -10
44.8938889354862     0.872637350053685     0     -10     -10
44.8806250755081     0.872743722307131     0     -10     -10
44.8673612236781     0.872568158069612     0     -10     -10
44.8540973809016     0.872721473319644     0     -10     -10
44.8408335480838     0.872211157241882     0     -10     -10
44.8275697261302     0.872585996478447     0     -10     -10
44.8143059159461     0.872500718373868     0     -10     -10
44.8010421184369     0.87251361784274     0     -10     -10
44.7877783345079     0.872361404618873     0     -10     -10
44.7745145650645     0.872195679762444     0     -10     -10
44.7612508110122     0.872551628519101     0     -10     -10
44.7479870732562     0.871977853537832     0     -10     -10
44.7347233527021     0.872472945111016     0     -10     -10
44.7214596502551     0.872240411761207     0     -10     -10
44.7081959668207     0.871943694653905     0     -10     -10
44.6949323033044     0.872238200547717     0     -10     -10
44.6816686606115     0.871733370338868     0     -10     -10
44.6684050396474     0.871833336487888     0     -10     -10
44.6551414413176     0.872157596069452     0     -10     -10
44.6418778665275     0.871677144422513     0     -10     -10
44.6286143161827     0.872090422542981     0     -10     -10
44.6153507911885     0.871575527588512     0     -10     -10
44.6020872924504     0.871547357700072     0     -10     -10
44.5888238208739     0.871709569968581     0     -10     -10
44.5755603773645     0.871485904371758     0     -10     -10
44.5622969628277     0.871601843017178     0     -10     -10
44.549033578169     0.871301583591196     0     -10     -10
44.5357702242939     0.871331382626689     0     -10     -10
44.522506902108     0.871147496125265     0     -10     -10
44.5092436125167     0.871140913395378     0     -10     -10
44.4959803564257     0.871166774042227     0     -10     -10
44.4827171347406     0.87072234921797     0     -10     -10
44.4694539483668     0.871069992398521     0     -10     -10
44.45619079821     0.870795489778146     0     -10     -10
44.4429276851758     0.87085472716309     0     -10     -10
44.4296646101698     0.870194294049007     0     -10     -10
44.4164015740977     0.870846655259634     0     -10     -10
44.4031385778651     0.870637541983016     0     -10     -10
44.3898756223776     0.87068795988274     0     -10     -10
44.376612708541     0.870689109029974     0     -10     -10
44.3633498372608     0.870707186543593     0     -10     -10
44.3500870094429     0.870325032885704     0     -10     -10
44.336824225993     0.870786774043036     0     -10     -10
44.3235614878167     0.870554845657286     0     -10     -10
44.3102987958199     0.870680176035521     0     -10     -10
44.2970361509082     0.87045849218107     0     -10     -10
44.2837735539876     0.870702019571803     0     -10     -10
44.2705110059638     0.870233955949539     0     -10     -10
44.2572485077426     0.870600957846206     0     -10     -10
44.2439860602298     0.870126123853655     0     -10     -10
44.2307236643314     0.870488111711243     0     -10     -10
44.2174613209532     0.869871981878492     0     -10     -10
44.2041990310011     0.870406685168146     0     -10     -10
44.190936795381     0.870101828623748     0     -10     -10
44.1776746149988     0.869929990506722     0     -10     -10
44.1644124907606     0.870180405149495     0     -10     -10
44.1511504235722     0.870169778468117     0     -10     -10
44.1378884143397     0.870023333050615     0     -10     -10
44.1246264639691     0.870188325280831     0     -10     -10
44.1113645733664     0.86978958916746     0     -10     -10
44.0981027434377     0.869942967080204     0     -10     -10
